author,hit_name,institute,research_area
Xiongshuai Zhang,,,
Zhiwei Tai,,,
Jianmin Wang,Jianmin Wang,"School of Software, Tsinghua University","big data management,workflow management,process mining"
Chang-Sheng Lin,Chang-Sheng Lin,"Post-doctoral Research Fellow of Instrumentation Development Division, National Synchrotron Radiation Research Center","random vibration,modal analysis,system identification"
Chia-Yi Hsu,Yu-Chen Hsu,Chia-Yi Christian Hospital,
Chia-Mu Yu,Chia-Mu Yu,National Yang Ming Chiao Tung University,"ai security,data privacy,data anonymization,cryptography"
Paul Landes,Paul Landes,University of Illinois at Chicago,natural language processing
Barbara Di Eugenio,Barbara Di Eugenio,"Professor, University of Illinois Chicago","natural language processing,human computer interaction,educational technology,nlp for healthcare"
Cornelia Caragea,Cornelia Caragea,University of Illinois at Chicago,"natural language processing,deep learning,information retrieval,artificial intelligence"
Jianhao Shen,Jianhao Shen,Peking University,"deep learning,nlp,symbolic reasoning"
Yichun Yin,Yichun Yin,Huawei Noah's Ark Lab,"deep learning,natural language processing"
Lin Li,Lin Li,"Department of Process Equipment and Control Engineering, Fuzhou University","heat transfer,numerical simulation"
Ming Zhang,Ming Zhang,Alibaba Group,networking
Tobias Bornheim,,,
Niklas Grieger,,,
Stephan Bialonski,Stephan Bialonski,FH Aachen University of Applied Science,"data science,machine learning,time series analysis,complex networks,complex systems"
Yao Qiu,Yao Qiu,"School of Materials and Metallurgy, Wuhan University of Science and Technology","alloy design,high entropy alloys,corrosion"
Jinchao Zhang,Jinchao Zhang,WeChat AI - Pattern Recognition Center,"deep learning,natural language processing,machine translation,dialogue system"
Haoming Jiang,Haoming Jiang,Amazon; Georgia Institute of Technology,machine learning
Zhe Lin,Zhi Lin,national university of singapore,
Yitao Cai,,,
Sean Yi,Sean Yee,University of South Carolina,mathematics education
Minji Jeon,Minji Jeon,"Department of Medicine, Korea University","bioinformatics,ai-driven drug discovery,machine learning"
Saibo Geng,,,
Rémi Lebret,Rémi Lebret,"Research Scientist, EPFL","deep learning,natural language processing"
Karl Aberer,Karl Aberer,"Professor of Computer and Communication Sciences, EPFL","social media,data management,data integration,trust management,semantic web"
Xue Jiang,Xue Jiang,Xi`an Jiaotong University,
Jianhui Zhao,Jianhui Zhou,"High Magnetic Field Laboratory, Chinese Academy of Sciences",condensed matter theory
Bo Du,bo du,"School of Computer Science, Wuhan University","machine learning,computer vision,remote sensing"
Zhiyong Yuan,Zhi Yuan Yong,Unknown affiliation,
Hooman Sedghamiz,Hooman Sedghamiz,MSc Biomedical engineering,"biomedical engineering,computational biology,biosignal processing,deep learning,machine learning"
Shivam Raval,Shivam Raval,"Graduate Student, Harvard University","interpretable ml,ai visualization,quantum optics,ultracold molecules"
Enrico Santus,Enrico Santus,Massachusetts Institute of Technology (MIT),natural language processing for pharma and healthcare
Tuka Alhanai,Tuka Alhanai,New York University Abu Dhabi,"machine learning,computer science,signal processing"
Mohammad Ghassemi,Mohammad Ghasemi,"Health Reasearch Center, Lifestyle Institute, Baqiyatallah University of Medical Sciences, Tehran",occupational medicine
Christel Chappuis,,,
Sylvain Lobry,Sylvain Lobry,"Associate professor, Université de Paris","remote sensing,deep learning,image processing,sar,machine learning"
Benjamin Kellenberger,Benjamin Kellenberger,"Ecole Polytechnique Fédérale de Lausanne (EPFL), ECEO, Switzerland","machine learning,computer vision,deep learning,remote sensing,ecology"
Bertrand Le Saux,Bertrand Le Saux,ESA / ESRIN Φ-lab,"computer vision,machine learning,pattern recognition,remote sensing,scene understanding"
Devis Tuia,Devis Tuia,Ecole Polytechnique Fédérale de Lausanne (EPFL),"machine learning,remote sensing,spatial analysis"
Shaul Solomon,,,
Adam Cohn,Adam Cohen,"Hoogleraar Klinische farmacologie, Universiteit Leiden",geneesmiddelen
Hernan Rosenblum,,,
Chezi Hershkovitz,,,
Pornpat Sirithumgul,Pornpat Sirithumgul,"Postdoctoral researcher, Claremont Graduate University","software engineering,data science,nlp & text mining,ontology-based algorithms,ai for knowledge processing"
Pimpaka Prasertsilp,Pimpaka Prasertsilp,"Lecturer, School of Science and Technology, Sukhothai Thammathirat Open University, THAILAND",
Lorne Olfman,Lorne Olfman,"Professor of Information Systems and Technology, Claremont Graduate University","social media,knowledge management,software training"
Xia Zeng,Xia Zeng,Queen Mary University of London,"natural language processing,machine learning,formal semantics,automated fact-checking,online misinformation"
Amani S. Abumansour,,,
Arkaitz Zubiaga,Arkaitz Zubiaga,Queen Mary University of London,"social media mining,social data science,natural language processing,computational social science,computational journalism"
Azza Abugharsa,Azza Abugharsa,Montclair State University,"natural language processing,tesl,usage-based theory,discourse analysis,ontogenetical language learning"
Jisun An,Jisun AN,Assistant Professor at the School of Computing and Information Systems at Singapore Management,"computational social science,data science,news and social media analytics"
Haewoon Kwak,KWAK Haewoon,"School of Computing and Information Systems, Singapore Management University","computational social science,complex systems,computational journalism,social computing,game analytics"
Claire Seungeun Lee,"Claire Seungeun Lee, Ph.D.",University of Massachusetts Lowell,"cybercrime/cybersecurity,digital sociology,technologies & society,social/global media,im/migration"
Bogang Jun,Bogang Jun 전보강,"Department of Economics, Inha University; Research Center for Small Businesses Ecosystem","economic complexity,economic development,economic geography,innovation economics,data analytics"
Yong-Yeol Ahn,Yong-Yeol Ahn,"Associate Professor of Informatics, Indiana University Bloomington","network science,complex systems,computational social science,science of science,computational neuroscience"
Barak Battash,Barak Battash,Unknown affiliation,"deep learning,deep learning theory"
Lior Wolf,Lior Wolf,The School of Computer Science at Tel Aviv University,
Tamir Hazan,Tamir Hazan,"Assistant Professor, Technion - Israel Institute of Technology",machine learning
Goro Kobayashi,Goro Kobayashi,Tohoku University,natural language processing
Tatsuki Kuribayashi,Tatsuki Kuribayashi,"Tohoku University, Langsmith inc.",natural language processing
Sho Yokoi,Sho Yokoi,"Tohoku University, RIKEN AIP","natural language processing,word embeddings,optimal transport,interpretability"
Jialu Wang,Jialu Wang,Westlake university,"topological semimetal，condensed matter physics,thermoelectricity"
Mayank Soni,Mayank Soni,Mohanlal Sukhadia University,artificial intelligence
Benjamin Cowan,Benjamin Cowan,Washington State University,"labor economics,health economics,economics of education"
Vincent Wade,Vincent Wade,"Professorial Chair of Computer Science & Director ADAPT Research Centre for Media Technology, TCD","adaptive web systems,personalisation,ai based educational technology,dialogue mgt systems,intelligent digital assistants"
Shraman Pramanick,Shraman Pramanick,PhD student at Johns Hopkins University,"computer vision,multimodal learning,deep learning"
Shivam Sharma,Shivam Sharma,S.M.S Medical College and Hospital,otorhinolaryngology
Dimitar Dimitrov,Dimitar Dimitrov,"University Museum of Bergen, University of Bergen","macroecology,evolutionary biology,biogeography,biodiversity,spiders"
Md Shad Akhtar,Md Shad Akhtar,IIIT Delhi,"natural language processing,sentiment analysis,emotion analysis"
Tanmoy Chakraborty,Tanmoy Chakraborty,Siliguri,speed tyres (islampur)
Kenton Murray,Kenton Murray,"Research Scientist, Johns Hopkins","machine learning,natural language processing,machine translation,semantics,neural networks"
Morteza Naserzade,,,
Aso Mahmudi,Aso Mahmudi,University of Tehran,"computational linguistics,natural language processing,kurdish linguistics"
Hawre Hosseini,Hawre Hosseini,"Research Scientist, Thomson Reuters","nlp,computational linguistics,ir,semantic technologies,social media mining"
Mohammad MohammadAmini,Asad Mohammad Amini,"Dept. of Food Science & Engineering, Faculty of Agriculture, University of Kurdistan, Sanandaj, Iran","food rheology,food process engineering,food nanomaterials"
Benjamin Clavié,Benjamin Clavié,Jus Mundi,"legal nlp,natural language processing,machine learning"
Marc Alphonsus,,,
Zimin Wan,,,
Chenchen Xu,Chenchen Xu,"PhD candidate, Australia National University","machine learning,natural language processing,vision language"
Hanna Suominen,Hanna Suominen,"Associate Director (Engagement & Impact), Associate Professor (Tenured), ANU School of Computing","machine learning,natural language processing,performance evaluation,health informatics,educational technology"
Jean-Francois Ton,Jean-Francois Ton,University of Oxford,"kernel methods,causal inference,meta-learning"
Josh Susskind,Joshua M Susskind,Apple AI Research,"deep learning,neural networks,computer vision,active perception,cognitive science"
Alexey Strokach,Alexey Strokach,University of Toronto,"structural biology,computational biology,machine learning"
Philip M. Kim,Philip M. Kim,"Professor, University of Toronto","computational biology,protein engineering,machine learning,drug discovery"
Isabel Segura-Bedmar,ISABEL SEGURA BEDMAR,University Carlos III of Madrid,"natural language processing,information extraction,deep learning"
David Camino-Perdonas,,,
Sara Guerrero-Aspizua,SARA GUERRERO ASPIZUA,University Carlos III of Madrid,"bioengineering,genodermatoses,skin diseases"
Anik Saha,Anik Saha,Research Scholar,"environment,geo-informatics,hazard analysis,& urban climate"
Catherine Finegan-Dollak,Catherine Finegan-Dollak,University of Richmond,natural language processing
Ashish Verma,Ashish Verma,"Manager, IBM Research AI","deep learning,natural language understanding,automated ml,speech recognition"
James A. Michaelov,James A. Michaelov,"The University of California, San Diego","cognitive science,linguistics"
Seana Coulson,Seana Coulson,"Cognitive Science, UCSD","neurobiology of language,pragmatics,concepts"
Benjamin K. Bergen,,,
Luke Murray,,,
Divya Gopinath,Divya Gopinath,"NASA Ames, KBR Inc.",
Monica Agrawal,Monica Agrawal,"PhD Student, MIT CSAIL",
Steven Horng,Steven Horng,"Clinical Lead for Machine Learning, Beth Israel Deaconess Medical Center","emergency medicine,clinical informatics,machine learning"
David Sontag,David Sontag,"Professor, Massachusetts Institute of Technology","machine learning,graphical models,artificial intelligence,approximate inference,healthcare"
David R. Karger,,,
Joongwon Kim,Jungwon Kim,"Professor, Korea Advanced Institute of Science and Technology (KAIST)","ultrafast optics,ultrafast lasers,frequency combs,microwave photonics,optical metrology"
Mounica Maddela,Mounica Maddela,Georgia Institute of Technology,"natural language processing,machine learning,social media"
Reno Kriz,Reno Kriz,HLTCOE at Johns Hopkins University,"text simplification,text generation,natural language processing"
Chris Callison-Burch,Chris Callison-Burch,"Associate Professor, University of Pennsylvania","natural language processing,crowdsourcing,machine translation,computational linguistics,computational semantics"
Aleš Tamchyna,Aleš Tamchyna,Memsource,"machine translation,machine learning in nlp"
Martin Popel,Martin Popel,"Institute of Formal and Applied Linguistics, Charles University in Prague","neural machine translation,mt evaluation,language modeling,treebanking,universal dependencies"
Shayne Longpre,Shayne Longpre,"MIT, Stanford, Apple","deep learning,natural language understanding"
Kartik Perisetla,Kartik Perisetla,"Apple, Carnegie Mellon University","natural language processing,deep learning,model interpretability,machine learning"
Anthony Chen,Anthony Chen,"Professor, Department of Civil and Environmental Engineering, The Hong Kong Polytechnic University",transportation systems modeling and analysis
Nikhil Ramesh,Nikhil R. Pal,Indian Statistical Institute,"artificial intelligence,pattern recognition,machine learning,fuzzy logic,neural networks"
Chris DuBois,,,
Sameer Singh,Sameer Singh,"Associate Professor, University of California Irvine","interpretability and robustness,information extraction,natural language processing,machine learning"
Kepa Bengoetxea,Kepa Xabier Bengoetxea Kortazar,University of the Basque Country,natural language processing
Itziar Gonzalez-Dios,Itziar Gonzalez-Dios,"Ixa NLP Group, HiTZ center, University of the Basque Country (UPV/EHU)","natural language processing,text simplification,readability assessment,language resources"
Nicola De Cao,Nicola De Cao,PhD at University of Amsterdam and The University of Edinburgh,"machine learning,natural language processing,artificial  intelligence,question answering,graph neural networks"
